      p    7.1489E-01      1
    he4    6.7772E-02      4
    li7    1.3000E-09      7
    c12    2.0879E-04     12
    c13    2.3355E-06     13
    n14    5.2912E-05     14
    n15    1.2164E-07     15
    o16    3.7813E-04     16
    o17    1.4366E-07     17
    o18    7.5626E-07     18
    f19    2.0632E-08     19
   ne20    6.2053E-05     20
   ne21    1.4875E-07     21
   ne22    4.5628E-06     22
   na23    1.4607E-06     23
   mg24    2.4667E-05     24
   mg25    3.1228E-06     25
   mg26    3.4382E-06     26
   al27    2.1113E-06     27
   si28    2.3411E-05     28
   si29    1.1888E-06     29
   si30    7.8364E-07     30
    p31    2.1113E-07     31
    s32    9.8164E-06     32
    s33    7.8589E-08     33
    s34    4.4361E-07     34
    s36    2.0681E-09     36
   cl35    9.2067E-08     35
   cl37    2.9425E-08     37
   ar36    1.6668E-06     36
   ar38    3.0306E-07     38
   ar40    4.6893E-10     40
    k39    8.0103E-08     39
    k40    1.5984E-10     40
    k41    5.7807E-09     41
   ca40    1.3521E-06     40
   ca42    9.0251E-09     42
   ca43    1.8831E-09     43
   ca44    2.9098E-08     44
   ca46    5.5797E-11     46
   ca48    2.6085E-09     48
   sc45    8.0269E-10     45
   ti46    4.7974E-09     46
   ti47    4.3264E-09     47
   ti48    4.2868E-08     48
   ti49    3.1459E-09     49
   ti50    3.0122E-09     50
    v50    1.6311E-11     50
    v51    6.5082E-09     51
   cr50    1.3569E-08     50
   cr52    2.6166E-07     52
   cr53    2.9670E-08     53
   cr54    7.3855E-09     54
   mn55    2.1605E-07     55
   fe54    1.4499E-06     54
   fe56    2.2760E-05     56
   fe57    5.2563E-07     57
   fe58    6.9952E-08     58
   co59    5.3033E-08     59
   ni58    7.7188E-07     58
   ni60    2.9733E-07     60
   ni61    1.2925E-08     61
   ni62    4.1209E-08     62
   ni64    1.0495E-08     64
   cu63    8.7997E-09     63
   cu65    3.9221E-09     65
   zn64    1.4841E-08     64
   zn66    8.5144E-09     66
   zn67    1.2512E-09     67
   zn68    5.7220E-09     68
   zn70    1.8921E-10     70
   ga69    5.1699E-10     69
   ga71    3.4311E-10     71
   ge70    5.6682E-10     70
   ge72    7.4905E-10     72
   ge73    2.1025E-10     73
   ge74    9.8677E-10     74
   ge76    2.0698E-10     76
   as75    1.4274E-10     75
   se74    1.3930E-11     74
   se76    1.4665E-10     76
   se77    1.1942E-10     77
   se78    3.7203E-10     78
   se80    7.7646E-10     80
   se82    1.3664E-10     82
   br79    1.2574E-10     79
   br81    1.2232E-10     81
   kr78    4.6053E-12     78
   kr80    2.9591E-11     80
   kr82    1.4827E-10     82
   kr83    1.4689E-10     83
   kr84    7.2391E-10     84
   kr86    2.1892E-10     86
   rb85    1.1611E-10     85
   rb87    5.0957E-11     87
   sr84    3.0282E-12     84
   sr86    5.3551E-11     86
   sr87    3.4250E-11     87
   sr88    4.4868E-10     88
    y89    1.0582E-10     89
   zr90    1.2472E-10     90
   zr91    2.7198E-11     91
   zr92    4.1573E-11     92
   zr94    4.2131E-11     94
   zr96    6.7875E-12     96
   nb93    1.8389E-11     93
   mo92    9.0504E-12     92
   mo94    5.7019E-12     94
   mo95    9.8685E-12     95
   mo96    1.0388E-11     96
   mo97    5.9810E-12     97
   mo98    1.5198E-11     98
  mo100    6.1212E-12    100
   ru96    2.2807E-12     96
   ru98    7.6982E-13     98
   ru99    5.2529E-12     99
  ru100    5.1870E-12    100
  ru101    7.0231E-12    101
  ru102    1.2988E-11    102
  ru104    7.6653E-12    104
  rh103    8.2139E-12    103
  pd102    3.2595E-13    102
  pd104    3.5599E-12    104
  pd105    7.1357E-12    105
  pd106    8.7335E-12    106
  pd108    8.4555E-12    108
  pd110    3.7452E-12    111
  ag107    5.8777E-12    107
  ag109    5.4606E-12    109
  cd106    4.5863E-13    106
  cd108    3.2654E-13    108
  cd110    4.5826E-12    110
  cd111    4.6963E-12    111
  cd112    8.8533E-12    112
  cd113    4.4835E-12    113
  cd114    1.0541E-11    114
  cd116    2.7481E-12    116
  in113    1.7661E-13    113
  in115    3.9401E-12    115
  sn112    8.1531E-13    112
  sn114    5.5474E-13    114
  sn115    2.8578E-13    115
  sn116    1.2221E-11    116
  sn117    6.4552E-12    117
  sn118    1.9517E-11    118
  sn119    7.2201E-12    119
  sn120    2.7384E-11    120
  sn122    3.8916E-12    122
  sn124    4.8666E-12    124
  sb121    4.1881E-12    121
  sb123    3.1325E-12    123
  te120    9.7452E-14    120
  te122    2.7611E-12    122
  te123    9.6369E-13    123
  te124    5.1325E-12    124
  te125    7.6554E-12    125
  te126    2.0400E-11    126
  te128    3.4368E-11    128
  te130    3.6902E-11    130
   i127    2.5383E-11    127
  xe124    1.5167E-13    124
  xe126    1.3427E-13    126
  xe128    2.7202E-12    128
  xe129    3.3884E-11    129
  xe130    5.4403E-12    130
  xe131    2.6969E-11    131
  xe132    3.2963E-11    132
  xe134    1.2171E-11    134
  xe136    9.8886E-12    136
  cs133    8.6010E-12    133
  ba130    1.1478E-13    130
  ba132    1.0936E-13    132
  ba134    2.6171E-12    134
  ba135    7.1378E-12    135
  ba136    8.5043E-12    136
  ba137    1.2162E-11    137
  ba138    7.7635E-11    138
  la138    9.9325E-15    138
  la139    1.0572E-11    139
  ce136    5.0318E-14    136
  ce138    6.8167E-14    138
  ce140    2.4057E-11    140
  ce142    3.0229E-12    142
  pr141    4.1167E-12    141
  nd142    5.4528E-12    142
  nd143    2.3959E-12    143
  nd144    4.7844E-12    144
  nd145    1.7669E-12    145
  nd146    3.4539E-12    146
  nd148    1.1525E-12    148
  nd150    1.1283E-12    150
  sm144    1.9129E-13    144
  sm147    9.6230E-13    147
  sm148    7.0035E-13    148
  sm149    8.6111E-13    149
  sm150    4.5984E-13    150
  sm152    1.6668E-12    152
  sm154    1.4175E-12    154
  eu151    1.1068E-12    151
  eu153    1.2082E-12    153
  gd152    1.6054E-14    152
  gd154    1.7499E-13    154
  gd155    1.1880E-12    155
  gd156    1.6431E-12    156
  gd157    1.2562E-12    157
  gd158    1.9939E-12    158
  gd160    1.7547E-12    160
  tb159    1.4947E-12    159
  dy156    5.4043E-15    156
  dy158    9.1680E-15    158
  dy160    2.2476E-13    160
  dy161    1.8229E-12    161
  dy162    2.4585E-12    162
  dy163    2.4026E-12    163
  dy164    2.7272E-12    164
  ho165    2.1113E-12    165
  er162    8.2711E-15    162
  er164    9.5267E-14    164
  er166    1.9936E-12    166
  er167    1.3608E-12    167
  er168    1.6053E-12    168
  er170    8.8721E-13    170
  tm169    9.4308E-13    169
  yb168    7.1405E-15    168
  yb170    1.7732E-13    170
  yb171    8.3842E-13    171
  yb172    1.2907E-12    172
  yb173    9.5802E-13    173
  yb174    1.9059E-12    174
  yb176    7.7356E-13    176
  lu175    8.5531E-13    175
  lu176    2.6952E-14    176
  hf174    5.9438E-15    174
  hf176    1.8888E-13    176
  hf177    6.8266E-13    177
  hf178    1.0015E-12    178
  hf179    5.0005E-13    179
  hf180    1.2878E-12    180
  ta180    6.5122E-17    180
  ta181    5.4262E-13    181
   w180    3.8347E-16    180
   w182    8.4683E-13    182
   w183    4.5729E-13    183
   w184    9.7912E-13    184
   w186    9.0850E-13    186
  re185    4.6425E-13    185
  re187    9.0447E-13    187
  os184    3.2032E-15    184
  os186    2.5591E-13    186
  os187    1.3665E-13    187
  os188    2.1360E-12    188
  os189    2.6043E-12    189
  os190    4.2352E-12    190
  os192    6.5777E-12    192
  ir191    5.5752E-12    191
  ir193    9.3717E-12    193
  pt190    4.1956E-15    190
  pt192    2.3321E-13    192
  pt194    9.8317E-12    194
  pt195    1.0090E-11    195
  pt196    7.5279E-12    196
  pt198    2.1362E-12    198
  au197    4.5139E-12    197
  hg196    1.5872E-14    196
  hg198    1.0550E-12    198
  hg199    1.7851E-12    199
  hg200    2.4443E-12    200
  hg201    1.3946E-12    201
  hg202    3.1596E-12    202
  hg204    7.2695E-13    204
  tl203    1.2437E-12    203
  tl205    2.9689E-12    205
  pb204    1.5665E-12    204
  pb206    1.4576E-11    206
  pb207    1.6130E-11    207
  pb208    4.6169E-11    208
  bi209    3.1956E-12    209 
