z,m,yd_mass,yd_mass_env,yd_mass_core
0.007139822775120198,10.503696253478095,8.901927585757711,4.710439073993895,4.191488511763817
0.007139822775120198,10.753784259504249,9.121872374322926,4.922648532378218,4.199223841944708
0.007139822775120198,11.003872265508889,9.34683851037285,5.143860841549368,4.202977668823482
0.007139822775120198,11.253960271571337,9.580729443331387,8.49877105633162,1.0819583869997667
0.007139822775120198,11.504048277567541,9.958337406729992,7.788814731703841,2.1695226750261507
0.007139822775120198,11.7541362835884,0.019403446038104732,0.0,0.0
0.007139822775120198,12.004224289674788,10.334518277584825,9.479100146394728,0.8554181311900964
0.007139822775120198,12.254312295719572,0.021767180139971032,0.0,0.0
0.007139822775120198,12.504400301731021,0.023028211423735456,0.0,0.0
0.007139822775120198,12.754488307792181,0.024333856593889536,0.0,0.0
0.007139822775120198,13.25466431982531,11.7864115381593,10.428386903449026,1.3580246347102751
0.007139822775120198,13.504752325879311,11.996370777646192,10.612771767892436,1.3835990097537565
0.007139822775120198,13.754840331904816,12.21852579204669,10.802940170511256,1.4155856215354334
0.007139822775120198,14.004928337954418,12.440680806451624,10.999357264540478,1.4413235419111454
0.007139822775120198,14.255016343976408,12.659558073346881,11.175268329759637,1.484289743587244
0.007139822775120198,14.505104350011162,12.907187560190486,11.373143148480532,1.5340444117099545
0.007139822775120198,14.75519235604203,13.27415557710719,11.563188858770108,1.7109667183370827
0.007139822775120198,15.005280362041526,0.036226901184418736,0.0,0.0
0.007139822775120198,15.255368368150492,13.708831133581448,11.940597137307762,1.768233996273686
0.007139822775120198,15.505456374155093,13.866306936764234,12.105794588972454,1.760512347791779
0.007139822775120198,15.755544380160844,14.18968631262056,12.31722185059947,1.8724644620210897
0.007139822775120198,16.005632386221418,0.04215511568532726,0.0,0.0
0.007139822775120198,16.255720392262166,14.582121757194692,12.687080411268163,1.8950413459265287
0.007139822775120198,16.505808398258385,14.86428693757628,12.872716694438543,1.9915702431377365
0.007139822775120198,16.75589640432061,15.109133070655941,13.063039591207938,2.0460934794480035
0.007139822775120198,17.00598441036291,0.048328869792058526,0.0,0.0
0.007139822775120198,17.256072416397355,0.050777737887145236,0.0,0.0
0.007139822775120198,17.506160422401052,0.05345444178911052,0.0,0.0
0.007139822775120198,17.756248428459813,0.054687513307776214,0.0,0.0
0.007139822775120198,18.006336434517944,0.060392070090639294,0.0,0.0
0.007139822775120198,18.256424440525052,0.05730443494100612,0.0,0.0
0.007139822775120198,18.50651244655469,0.06371999873448075,0.0,0.0
0.007139822775120198,18.756600452589538,0.061571017462668465,0.0,0.0
0.007139822775120198,19.00668845866076,0.06441413084706937,0.0,0.0
0.007139822775120198,19.25677646468224,0.06846369056361468,0.0,0.0
0.007139822775120198,19.506864470723702,0.06958709043676592,0.0,0.0
0.007139822775120198,19.75695247672155,0.07366123135610181,0.0,0.0
0.009999820470505672,10.503696253478095,8.891461750398713,8.369889742017605,0.5215720083811093
0.009999820470505672,10.753784259504249,9.126084540472576,8.273995524363226,0.8520890161093506
0.009999820470505672,11.003872265508889,9.354892509035292,5.272332324288362,4.082560184746931
0.009999820470505672,11.253960271571337,9.585872274249207,8.643049903497388,0.9428223707518166
0.009999820470505672,11.504048277567541,9.863504229459783,9.012185604023399,0.8513186254363849
0.009999820470505672,11.7541362835884,0.023990362799544585,0.0,0.0
0.009999820470505672,12.004224289674788,10.309441132357772,8.489973556147039,1.819467576210733
0.009999820470505672,12.254312295719572,0.027027994682878642,0.0,0.0
0.009999820470505672,12.504400301731021,0.02857723599630546,0.0,0.0
0.009999820470505672,12.754488307792181,0.030261712092610082,0.0,0.0
0.009999820470505672,13.004576313788254,0.0317491919715458,0.0,0.0
0.009999820470505672,13.25466431982531,11.780514032117187,10.41010598248706,1.370408049630128
0.009999820470505672,13.504752325879311,11.996370777646195,10.587096312409255,1.40927446523694
0.009999820470505672,13.754840331904816,12.228154946729282,10.802940170511253,1.425214776218029
0.009999820470505672,14.004928337954418,12.434786104977556,10.979210990660917,1.4555751143166382
0.009999820470505672,14.255016343976408,12.665989893163626,11.17526832975964,1.490721563403987
0.009999820470505672,14.505104350011162,0.041578381412030296,0.0,0.0
0.009999820470505672,14.75519235604203,13.187787192320688,11.549102149186094,1.6386850431345945
0.009999820470505672,15.005280362041526,13.566671296838447,11.730687476742984,1.8359838200954623
0.009999820470505672,15.255368368150492,13.708831133581443,11.926198934741304,1.7826321988401375
0.009999820470505672,15.505456374155093,13.803298843223464,12.10579458897245,1.6975042542510133
0.009999820470505672,15.755544380160844,14.250564712320028,12.308608656349792,1.9419560559702371
0.009999820470505672,16.005632386221418,0.05221712731646733,0.0,0.0
0.009999820470505672,16.255720392262166,0.05431564764421282,0.0,0.0
0.009999820470505672,16.505808398258385,14.908217563725643,12.858858404972079,2.049359158753563
0.009999820470505672,16.75589640432061,15.110864884289205,13.05295087134957,2.0579140129396354
0.009999820470505672,17.00598441036291,15.393915893498491,13.22063742474477,2.173278468753719
0.009999820470505672,17.256072416397355,0.06264311789177057,0.0,0.0
0.009999820470505672,17.506160422401052,0.06446769470379721,0.0,0.0
0.009999820470505672,17.756248428459813,0.06921573303830542,0.0,0.0
0.009999820470505672,18.006336434517944,0.0735133712994589,0.0,0.0
0.009999820470505672,18.256424440525052,0.07577028163251498,0.0,0.0
0.009999820470505672,18.50651244655469,0.07364379002454768,0.0,0.0
0.009999820470505672,18.756600452589538,0.08018483488158168,0.0,0.0
0.009999820470505672,19.00668845866076,0.08101314747228017,0.0,0.0
0.009999820470505672,19.25677646468224,0.08454950997746735,0.0,0.0
0.009999820470505672,19.506864470723702,0.0907093171020108,0.0,0.0
0.009999820470505672,19.75695247672155,0.0938198342534946,0.0,0.0
0.009999820470505672,20.007040482763003,0.09128002790046352,0.0,0.0
0.015999815604920944,10.503696253478095,8.88467604084032,8.360128101801426,0.5245479390388941
0.015999815604920944,10.753784259504249,9.11387824255379,8.543996677082388,0.5698815654714029
0.015999815604920944,11.003872265508889,9.367824344560885,5.4337182073635,3.9341061371973853
0.015999815604920944,11.253960271571337,9.58072944333139,8.618298616839976,0.962430826491415
0.015999815604920944,11.504048277567541,9.85937192495969,9.036721650832014,0.8226502741276756
0.015999815604920944,11.7541362835884,10.192925475396972,8.286141180961216,1.9067842944357565
0.015999815604920944,12.004224289674788,10.32928726670691,8.43507003371837,1.8942172329885394
0.015999815604920944,12.254312295719572,0.03651933303076227,0.0,0.0
0.015999815604920944,12.504400301731021,0.03877997975151537,0.0,0.0
0.015999815604920944,12.754488307792181,0.04090989584652682,0.0,0.0
0.015999815604920944,13.004576313788254,11.558240182451685,10.213688888470065,1.3445512939816202
0.015999815604920944,13.25466431982531,11.786411538159303,10.41010598248706,1.3763055556722428
0.015999815604920944,13.504752325879311,12.00879666153703,10.599519842765222,1.4092768187718079
0.015999815604920944,13.754840331904816,12.228154946729278,10.783153651522277,1.4450012952070026
0.015999815604920944,14.004928337954418,12.434786104977551,10.971934125615322,1.4628519793622292
0.015999815604920944,14.255016343976408,12.66077065672863,11.161132000812358,1.4996386559162709
0.015999815604920944,14.505104350011162,12.881655583403536,11.353354655124582,1.5283009282789541
0.015999815604920944,14.75519235604203,13.170870646099996,11.535176018834852,1.6356946272651431
