# Leung & Nomoto 2018, ApJ 861, 143, Tables 8-9 (stable) and 15 (radioactive)
# rho_c = 3e9 g/cm^3, c3 flame, C/O=1 near-Chandrasekhar deflagration series (300-Z-c3-1).
# Isotope masses ejected (Msun). Columns are Z/Zsun of the WD progenitor.
# radioactive=1 marks isotopes from Table 15 (56Ni etc, not yet decayed at tabulation epoch).
isotope            Z0       Z0p1       Z0p5         Z1         Z2         Z3         Z5 radioactive
47Ti       1.3600e-06 1.6300e-06 3.2900e-06 3.8400e-06 4.3700e-06 5.1700e-06 6.7100e-06           0
48Ti       5.9000e-04 5.1800e-04 3.9600e-04 3.4100e-04 2.7800e-04 2.4900e-04 2.2000e-04           0
49Ti       6.1300e-06 2.8000e-05 2.4800e-05 2.8200e-05 2.9500e-05 3.0000e-05 3.5500e-05           0
50Ti       2.4300e-06 2.4400e-06 2.5700e-06 2.6600e-06 2.8500e-06 3.2200e-06 3.8900e-06           0
50V        1.2500e-08 1.2600e-08 1.4100e-08 1.7100e-08 2.6400e-08 4.9600e-08 1.5000e-07           0
51V        4.7200e-05 4.9800e-05 7.6800e-05 9.5000e-05 1.1700e-04 1.5600e-04 2.2200e-04           0
50Cr       1.5800e-04 1.7400e-04 3.1000e-04 4.9600e-04 9.2500e-04 1.2100e-03 1.6400e-03           0
52Cr       1.3000e-02 9.7300e-03 8.6000e-03 8.4000e-03 7.6400e-03 8.1000e-03 9.9400e-03           0
53Cr       6.6200e-04 8.1700e-04 9.1900e-04 1.0000e-03 1.1500e-03 1.3700e-03 1.7500e-03           0
54Cr       6.8100e-05 6.8400e-05 7.1500e-05 7.3400e-05 7.8000e-05 8.6300e-05 1.4000e-04           0
55Mn       7.8700e-03 8.3600e-03 9.5000e-03 1.3000e-02 1.2000e-02 1.3800e-02 1.7000e-02           0
54Fe       8.4800e-02 8.6600e-02 9.5500e-02 1.6000e-01 1.2600e-01 1.4600e-01 1.8600e-01           0
56Fe       7.4000e-01 7.3200e-01 6.9400e-01 6.7100e-01 6.3200e-01 5.9800e-01 4.9200e-01           0
57Fe       1.5800e-02 1.6600e-02 1.8500e-02 2.8000e-02 2.4200e-02 2.6600e-02 2.7100e-02           0
58Fe       4.2600e-04 4.2800e-04 4.4300e-04 4.5400e-04 4.7800e-04 5.1800e-04 5.8700e-04           0
60Fe       9.2600e-11 9.3300e-11 1.7000e-10 1.9000e-10 1.2400e-10 1.4300e-10 1.8400e-10           0
59Co       5.4400e-04 5.3000e-04 7.5400e-04 8.8600e-04 1.1000e-03 1.8000e-03 1.3000e-03           0
58Ni       4.2900e-02 4.3600e-02 5.1600e-02 6.3500e-02 8.6900e-02 1.8000e-01 1.3800e-01           0
60Ni       1.3100e-02 1.3300e-02 1.2100e-02 1.1200e-02 1.1000e-02 9.5800e-03 8.1200e-03           0
61Ni       2.1600e-04 2.3200e-04 2.4300e-04 2.6600e-04 2.8900e-04 3.1700e-04 2.7000e-04           0
62Ni       3.5500e-04 4.1100e-04 1.1500e-03 1.8800e-03 3.9000e-03 4.3100e-03 4.9900e-03           0
64Ni       1.5000e-07 1.6000e-07 1.1700e-07 1.2100e-07 1.3000e-07 1.4600e-07 1.7900e-07           0
63Cu       5.9800e-07 1.9800e-06 1.3500e-06 1.7700e-06 2.9600e-06 4.6600e-06 7.1600e-06           0
65Cu       1.6800e-06 1.8900e-06 1.9800e-06 2.3600e-06 2.8600e-06 3.4800e-06 3.3400e-06           0
64Zn       1.6400e-04 2.1000e-04 2.7600e-05 1.8100e-05 1.3000e-05 1.1600e-05 7.2400e-06           0
66Zn       2.3000e-06 5.8000e-06 1.5000e-05 2.7200e-05 4.7900e-05 7.2200e-05 8.7200e-05           0
67Zn       2.4000e-08 3.2100e-08 1.3000e-08 3.4200e-08 9.5300e-08 1.8400e-07 3.1700e-07           0
68Zn       1.9900e-06 1.2400e-06 3.9600e-08 2.5200e-08 2.3300e-08 3.3400e-08 6.3700e-08           0
