star,Teff,logg,FeH,e_FeH,Na,Mg,Al,Si,Ca,Ti,Cr,Ni,Y,Zr,La,Ce,Nd,sFe,hsls,Mass_dC16,logL
HD20394,5100.0,2.9,-0.22,0.12,0.21,0.21,0.18,0.23,0.21,0.11,0.01,0.05,1.0,1.14,1.7,1.28,1.3,1.28,0.36,2.0,1.63
HD204075,5300.0,1.5,0.06,0.17,0.01,0.06,0.01,0.02,0.04,-0.12,-0.05,-0.09,1.25,0.95,1.06,0.81,0.71,0.96,-0.24,6.0,3.57
HD204886,4600.0,2.1,0.04,0.15,0.19,0.04,0.03,0.06,-0.01,-0.06,0.07,-0.06,0.68,0.64,1.22,0.71,0.89,0.83,0.28,3.0,2.42
HD207277,4600.0,2.0,-0.13,0.14,0.12,0.12,-0.03,0.21,0.12,0.01,-0.08,-0.06,0.7,0.51,1.17,0.93,0.73,0.81,0.34,4.0,2.65
HD210030,4700.0,1.9,-0.03,0.11,0.07,0.12,0.08,0.11,0.12,-0.02,-0.1,0.0,0.42,0.29,0.33,0.29,0.21,0.31,-0.08,5.0,2.88
HD210709,4700.0,2.6,-0.1,0.14,-0.01,0.08,0.06,0.2,-0.01,-0.06,-0.07,0.06,0.56,0.39,0.92,0.84,0.74,0.69,0.36,2.5,1.88
HD210946,4800.0,2.1,-0.12,0.13,0.0,0.03,0.0,0.12,0.05,-0.04,-0.04,-0.03,0.77,0.56,0.81,0.66,0.61,0.68,0.03,4.0,2.61
HD211173,4700.0,2.3,-0.39,0.09,0.2,0.3,0.07,0.34,0.22,-0.03,-0.04,0.09,0.58,0.37,0.58,0.52,0.36,0.48,0.01,3.0,2.26
HD211221,4800.0,2.3,-0.11,0.09,-0.06,0.19,-0.01,0.16,0.07,-0.04,0.01,-0.02,-0.19,-0.02,0.13,0.25,0.15,0.06,0.28,3.0,2.29
HD211594,4900.0,2.4,-0.43,0.14,0.45,0.4,0.15,0.26,0.26,0.24,0.09,0.08,1.2,1.18,2.31,1.57,1.49,1.55,0.6,3.0,2.23
HD211954,4400.0,1.7,-0.51,0.19,0.37,0.53,0.39,0.35,0.39,0.36,-0.03,0.09,1.14,1.02,1.9,1.54,1.69,1.46,0.63,4.0,2.91
HD212484,4800.0,2.1,-0.56,0.07,0.08,0.22,0.18,0.22,0.08,0.03,-0.06,0.01,-0.18,0.08,0.04,-0.08,0.04,-0.02,0.05,2.0,2.31
HD213084,5000.0,2.8,-0.09,0.15,0.04,-0.03,0.05,0.08,0.07,0.0,0.03,0.02,0.8,0.72,1.1,0.91,0.89,0.88,0.21,2.5,1.78
HD214579,4400.0,1.6,-0.26,0.14,0.23,0.29,0.29,0.22,0.15,0.05,-0.01,0.05,0.52,0.76,1.16,0.86,0.81,0.82,0.3,2.0,2.66
HD214889,4900.0,2.6,-0.17,0.12,0.17,0.1,0.14,0.22,0.11,0.0,-0.06,0.06,0.69,0.53,0.71,0.63,0.44,0.6,-0.02,2.0,1.85
HD215555,5200.0,3.2,-0.08,0.12,-0.07,0.06,0.1,0.09,0.08,0.01,0.03,-0.07,0.99,0.8,0.85,0.88,0.65,0.83,-0.1,2.0,1.36
HD216809,4400.0,1.2,-0.04,0.14,,-0.03,0.17,0.0,0.17,0.08,,-0.08,0.45,0.69,0.64,0.34,0.49,0.52,-0.08,6.0,3.54
HD21682,5200.0,2.8,-0.48,0.12,0.25,0.38,0.21,0.29,0.24,0.08,0.04,0.08,0.5,0.54,0.92,0.93,0.8,0.74,0.36,3.0,1.94
HD217143,4600.0,2.1,-0.35,0.17,0.02,0.44,0.06,0.26,0.22,0.09,-0.02,0.09,0.87,0.62,1.62,1.15,1.08,1.07,0.54,2.5,2.34
HD217447,5000.0,2.5,-0.17,0.11,0.18,0.17,-0.01,0.17,0.12,-0.04,-0.08,0.0,0.93,0.6,1.09,1.01,0.84,0.89,0.21,2.5,2.09
HD219116,4900.0,2.3,-0.61,0.09,0.26,0.45,0.31,0.33,0.22,0.17,-0.02,0.08,0.59,0.65,1.21,1.07,0.97,0.9,0.46,2.0,2.15
HD21980,4800.0,2.0,-0.04,0.17,0.4,0.32,0.01,0.21,0.13,-0.01,-0.11,-0.04,-0.3,-0.3,0.1,0.14,-0.1,-0.09,0.35,4.0,2.71
HD21989,4400.0,1.8,-0.14,0.17,0.17,0.3,0.05,0.26,-0.08,-0.02,-0.01,0.05,0.66,0.42,0.93,0.61,0.51,0.63,0.14,4.0,2.77
HD221879,4300.0,1.3,-0.1,0.19,0.23,-0.04,0.26,0.0,0.11,0.07,0.0,-0.08,0.93,0.83,0.91,0.44,0.62,0.75,-0.22,6.0,3.4
HD22285,4900.0,2.3,-0.6,0.13,0.41,0.4,0.26,0.28,0.33,0.15,0.02,0.1,0.96,0.99,1.45,1.28,1.23,1.18,0.35,2.0,1.99
HD223586,4700.0,2.9,-0.08,0.11,0.12,0.28,0.22,0.2,0.17,0.15,0.02,0.08,0.88,0.82,1.05,0.89,0.82,0.89,0.07,1.5,1.35
HD223617,4700.0,2.3,-0.18,0.13,0.27,0.24,0.17,0.2,0.21,0.01,-0.11,0.07,0.7,0.73,1.03,0.67,0.62,0.75,0.06,2.0,2.72
HD223938,5000.0,2.9,-0.42,0.11,0.18,0.27,0.16,0.3,0.25,0.06,-0.02,0.05,0.72,0.53,0.92,0.97,0.84,0.8,0.28,2.0,1.59
HD22772,4800.0,2.4,-0.17,0.13,0.28,0.17,0.07,0.3,0.18,-0.04,-0.06,-0.08,0.9,0.78,1.24,0.91,0.83,0.93,0.15,2.0,2.01
HD24035,4700.0,2.5,-0.23,0.15,0.18,0.19,0.38,0.34,0.27,0.11,-0.04,0.06,1.35,1.2,2.7,1.58,1.58,1.68,0.68,1.5,1.76
HD252117,4600.0,1.8,-0.14,0.19,0.42,0.38,0.16,0.09,0.09,-0.07,0.09,0.0,0.92,0.84,1.84,1.11,1.07,1.16,0.46,4.0,2.81
HD26886,5000.0,2.5,-0.3,0.1,0.2,0.36,0.13,0.3,0.24,0.04,-0.01,0.06,0.44,0.5,0.79,0.76,0.61,0.62,0.25,3.0,2.17
HD273845,4800.0,2.5,-0.15,0.16,0.15,0.3,0.06,0.2,0.11,0.06,-0.01,0.08,0.99,0.66,1.57,1.4,1.27,1.18,0.59,2.0,1.92
HD288174,4800.0,2.3,-0.05,0.15,0.03,-0.01,0.03,0.16,-0.03,-0.03,-0.08,0.0,0.9,0.6,1.2,0.82,0.69,0.84,0.15,3.0,2.29
HD29370,4800.0,2.1,-0.25,0.16,0.28,0.38,0.24,0.11,0.12,0.07,-0.07,0.05,0.83,0.71,1.61,1.03,1.0,1.04,0.44,3.0,2.49
HD29685,4900.0,2.7,-0.07,0.14,-0.09,0.05,0.0,0.07,0.11,0.02,0.03,0.01,0.69,0.46,0.78,0.66,0.54,0.63,0.09,2.5,1.86
