# Cinquegrana, Heger & Karakas 2025
M      10.5   10.8   11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3   18.5   18.8   19.0   19.3   19.5   19.8
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.518   1.534   1.552   1.632   1.543   11.731   1.630   12.228   12.477   12.726   1.462   1.506   1.533   1.559   1.594   1.596   1.479   14.964   1.545   1.638   1.563   15.958   1.672   1.640   1.644   16.952   17.199   17.447   17.695   17.940   18.193   18.436   18.688   18.936   19.182   19.430   19.676
B10   4.137424e-12   4.257312e-12   4.441930e-12   4.534982e-12   4.896863e-12   1.324869e-13   4.942338e-12   1.484831e-13   1.574088e-13   1.669663e-13   7.118636e-12   6.908896e-12   7.097659e-12   7.042542e-12   8.570872e-12   8.299310e-12   9.190790e-12   2.551673e-13   8.997363e-12   8.497410e-12   8.745634e-12   2.980883e-13   9.204811e-12   9.460972e-12   1.048609e-11   3.418622e-13   3.591789e-13   3.781047e-13   3.868265e-13   4.271590e-13   4.053287e-13   4.506928e-13   4.354970e-13   4.556009e-13   4.842365e-13   4.921778e-13   5.209864e-13
B11   1.804934e-08   1.895718e-08   2.405382e-08   2.320458e-08   3.653943e-08   5.882385e-13   2.498513e-08   6.588340e-13   6.985159e-13   7.404266e-13   9.389585e-08   1.301337e-07   1.308244e-07   1.057391e-07   1.632220e-07   1.529212e-07   1.650055e-07   1.135431e-12   1.952040e-07   1.816614e-07   1.546199e-07   1.327901e-12   2.153056e-07   2.121318e-07   2.116694e-07   1.523306e-12   1.600481e-12   1.684817e-12   1.723730e-12   1.903439e-12   1.806215e-12   2.008389e-12   1.940696e-12   2.030310e-12   2.157950e-12   2.193359e-12   2.321775e-12
C12   4.761896e-03   5.363286e-03   6.527308e-03   6.426286e-03   9.062948e-03   4.133494e-07   9.099391e-03   4.642636e-07   4.913326e-07   5.197079e-07   4.480546e-02   4.774547e-02   4.910764e-02   4.754890e-02   5.490534e-02   5.927782e-02   7.998996e-02   7.780897e-07   8.291915e-02   7.705958e-02   9.411005e-02   9.054731e-07   9.422890e-02   1.001903e-01   1.106714e-01   1.038084e-06   1.090684e-06   1.148179e-06   1.174665e-06   1.297196e-06   1.230875e-06   1.368679e-06   1.322519e-06   1.383588e-06   1.470571e-06   1.494701e-06   1.582212e-06
C13   4.964690e-06   5.087599e-06   5.238679e-06   5.348941e-06   5.576903e-06   5.052171e-09   5.800044e-06   5.706759e-09   6.049261e-09   6.272199e-09   8.753009e-06   7.180878e-06   7.245877e-06   8.855978e-06   7.612260e-06   7.717446e-06   8.349410e-06   8.837986e-09   9.225241e-06   8.537397e-06   1.144547e-05   1.026604e-08   9.158730e-06   9.607064e-06   1.165051e-05   1.176900e-08   1.236534e-08   1.301717e-08   1.331745e-08   1.470663e-08   1.395472e-08   1.551703e-08   1.499371e-08   1.568606e-08   1.667221e-08   1.694578e-08   1.793791e-08
N14   2.630644e-04   2.709987e-04   2.793662e-04   2.870112e-04   3.019035e-04   1.213907e-07   3.157783e-04   1.354173e-07   1.430299e-07   1.506398e-07   3.770454e-04   3.839479e-04   3.912006e-04   3.998207e-04   4.051606e-04   4.158193e-04   4.238645e-04   2.196426e-07   4.410000e-04   4.476799e-04   4.571089e-04   2.555393e-07   4.724748e-04   4.808594e-04   4.907143e-04   2.929633e-07   3.078080e-07   3.240338e-07   3.315085e-07   3.660888e-07   3.473720e-07   3.862623e-07   3.732354e-07   3.904700e-07   4.150179e-07   4.218278e-07   4.465247e-07
N15   6.252217e-07   7.352787e-07   8.368767e-07   7.834942e-07   8.909824e-07   2.807974e-10   1.224451e-06   3.152269e-10   3.336144e-10   3.532990e-10   4.337222e-06   5.144379e-06   5.109903e-06   4.879097e-06   4.729385e-06   5.443345e-06   9.380996e-06   5.320286e-10   8.723310e-06   7.420395e-06   1.022947e-05   6.193009e-10   9.297585e-06   1.040815e-05   1.216629e-05   7.100059e-10   7.459825e-10   7.853063e-10   8.034216e-10   8.872277e-10   8.418671e-10   9.361189e-10   9.045480e-10   9.463166e-10   1.005809e-09   1.022313e-09   1.082167e-09
O16   1.191629e-02   1.425605e-02   1.675787e-02   1.678476e-02   2.341762e-02   1.019017e-06   2.806339e-02   1.143245e-06   1.209501e-06   1.278109e-06   1.425769e-01   1.494146e-01   1.534532e-01   1.613512e-01   1.651052e-01   1.911891e-01   3.131044e-01   1.902859e-06   3.172297e-01   2.774765e-01   3.970401e-01   2.214245e-06   3.660288e-01   4.225688e-01   4.825948e-01   2.538528e-06   2.667158e-06   2.807755e-06   2.872523e-06   3.172161e-06   3.009980e-06   3.346965e-06   3.234087e-06   3.383425e-06   3.596132e-06   3.655140e-06   3.869139e-06
O17   3.837964e-06   3.861397e-06   3.880194e-06   3.855030e-06   3.867461e-06   4.300127e-10   3.986131e-06   4.629088e-10   4.845543e-10   5.046186e-10   4.032419e-06   4.944070e-06   4.856141e-06   3.791404e-06   4.812651e-06   4.865581e-06   5.655052e-06   7.096183e-10   4.927309e-06   4.655143e-06   4.490733e-06   8.256259e-10   4.890330e-06   5.001776e-06   5.204882e-06   9.465409e-10   9.945030e-10   1.046927e-09   1.071078e-09   1.182804e-09   1.122331e-09   1.247982e-09   1.205894e-09   1.261577e-09   1.340890e-09   1.362892e-09   1.442686e-09
O18   7.977387e-07   8.641572e-07   9.370829e-07   9.249205e-07   1.087154e-06   2.153127e-09   1.138825e-06   2.417762e-09   2.558779e-09   2.705755e-09   6.130897e-06   6.757384e-06   7.203034e-06   7.861000e-06   7.060427e-06   8.056585e-06   1.219895e-05   4.042437e-09   1.127428e-05   8.301656e-06   1.257294e-05   4.704071e-09   7.901900e-06   8.985627e-06   7.874710e-06   5.392999e-09   5.666267e-09   5.964959e-09   6.102557e-09   6.739126e-09   6.394578e-09   7.110489e-09   6.870685e-09   7.187947e-09   7.639835e-09   7.765195e-09   8.219827e-09
F19   1.328121e-07   1.826601e-07   2.115612e-07   1.886238e-07   1.634880e-07   9.252790e-11   2.809756e-07   1.038378e-10   1.098626e-10   1.161025e-10   1.585165e-07   1.537836e-06   1.480476e-06   2.257866e-07   1.190524e-06   1.584414e-06   3.540505e-06   1.728945e-10   2.251341e-07   3.478873e-07   3.277292e-07   2.011871e-10   3.899747e-07   3.464890e-07   3.431318e-07   2.306516e-10   2.423389e-10   2.551136e-10   2.609985e-10   2.882238e-10   2.734879e-10   3.041064e-10   2.938503e-10   3.074192e-10   3.267459e-10   3.321074e-10   3.515514e-10
