# Cinquegrana, Heger & Karakas 2025
M      10.5   10.8   11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3   18.5   18.8   19.0   19.3   19.5   19.8   20.0
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.309   1.326   1.507   1.409   1.533   1.534   1.478   1.518   1.424   1.540   1.575   1.605   1.631   1.625   10.908   11.048   11.152   11.301   11.434   1.462   1.464   1.498   1.499   1.554   1.557   1.590   1.615   12.406   1.668   1.668   1.698   12.638   12.624   1.497   12.543   1.661   1.683   1.585   11.119
H1    5.694425e+00   5.847820e+00   5.929491e+00   6.073985e+00   6.145882e+00   6.271005e+00   6.492213e+00   6.603529e+00   6.760602e+00   6.816313e+00   6.937815e+00   7.053135e+00   7.158982e+00   7.272548e+00   2.004938e+00   2.072467e+00   2.166392e+00   2.226105e+00   2.300295e+00   7.709436e+00   7.787586e+00   7.882691e+00   7.957705e+00   8.078924e+00   8.149588e+00   8.250275e+00   8.340236e+00   3.063891e+00   8.531971e+00   8.586200e+00   8.675099e+00   3.515213e+00   3.673378e+00   8.714579e+00   4.009874e+00   8.916739e+00   9.051842e+00   8.939620e+00   5.418558e+00
H2    6.610741e-08   6.888026e-08   7.207879e-08   7.437814e-08   7.808977e-08   8.028072e-08   8.143305e-08   8.473437e-08   9.115502e-08   9.590237e-08   9.978816e-08   1.036700e-07   1.070221e-07   1.103059e-07   9.091689e-08   9.344160e-08   9.626239e-08   9.911338e-08   1.022209e-07   1.271390e-07   1.287152e-07   1.336267e-07   1.363315e-07   1.390423e-07   1.447663e-07   1.460699e-07   1.498632e-07   1.296187e-07   1.572475e-07   1.603122e-07   1.645599e-07   1.428233e-07   1.458195e-07   1.711520e-07   1.525545e-07   1.802308e-07   1.844966e-07   1.873346e-07   1.671436e-07
He3   3.628344e-04   3.689266e-04   3.708848e-04   3.763224e-04   3.772247e-04   3.836477e-04   4.104336e-04   4.261880e-04   4.424578e-04   4.478763e-04   4.545405e-04   4.614130e-04   4.664528e-04   4.723280e-04   1.483499e-04   1.539095e-04   1.612551e-04   1.659833e-04   1.721481e-04   4.895349e-04   4.931106e-04   4.985104e-04   5.019621e-04   5.085442e-04   5.122543e-04   5.173669e-04   5.226369e-04   2.331183e-04   5.323446e-04   5.348386e-04   5.402953e-04   2.658732e-04   2.763013e-04   5.391668e-04   2.990946e-04   5.550197e-04   5.605360e-04   5.584999e-04   3.877328e-04
He4   3.155928e+00   3.217582e+00   3.214591e+00   3.388639e+00   3.452076e+00   3.556894e+00   3.645714e+00   3.723175e+00   3.881396e+00   3.868828e+00   3.960877e+00   4.042713e+00   4.150632e+00   4.277454e+00   9.794011e-01   1.018233e+00   1.065178e+00   1.102453e+00   1.141705e+00   5.287823e+00   5.413683e+00   5.504271e+00   5.632209e+00   5.710650e+00   5.823290e+00   5.923598e+00   6.022023e+00   1.611937e+00   6.216854e+00   6.336322e+00   6.434797e+00   1.901519e+00   1.998742e+00   6.733198e+00   2.222760e+00   6.948769e+00   7.079531e+00   7.124157e+00   3.153552e+00
Li6   1.056739e-10   1.086091e-10   1.118931e-10   1.134926e-10   1.167025e-10   1.184251e-10   1.190324e-10   1.210160e-10   1.253999e-10   1.286236e-10   1.313402e-10   1.345645e-10   1.375211e-10   1.398419e-10   1.190612e-10   1.210361e-10   1.233519e-10   1.254400e-10   1.273713e-10   1.470653e-10   1.493575e-10   1.525943e-10   1.546306e-10   1.580568e-10   1.590147e-10   1.623658e-10   1.647338e-10   1.474726e-10   1.696303e-10   1.706755e-10   1.738164e-10   1.550829e-10   1.576592e-10   1.770835e-10   1.618755e-10   1.847963e-10   1.877386e-10   1.868686e-10   1.702614e-10
Li7   1.701146e-08   1.521443e-08   1.275311e-08   2.331054e-08   3.541524e-08   1.977769e-08   1.343724e-08   1.735374e-08   6.776066e-08   6.545792e-08   6.471455e-08   6.892996e-08   6.983336e-08   7.398230e-08   2.853122e-09   2.901559e-09   2.950877e-09   3.002222e-09   3.051066e-09   1.799480e-07   1.967061e-07   1.960824e-07   2.110245e-07   1.879985e-07   2.172833e-07   1.924234e-07   2.020273e-07   3.490746e-09   1.916301e-07   1.978044e-07   1.993255e-07   3.662225e-09   3.721919e-09   2.672796e-07   3.804795e-09   2.462935e-07   2.455801e-07   2.782938e-07   4.018801e-09
Be9   6.687191e-11   6.870480e-11   7.032658e-11   7.250998e-11   7.351822e-11   7.647271e-11   1.004154e-10   1.047501e-10   1.096856e-10   1.122697e-10   1.145165e-10   1.169407e-10   1.189651e-10   1.209782e-10   9.186095e-11   9.556832e-11   9.868079e-11   1.019681e-10   1.050269e-10   1.261874e-10   1.277093e-10   1.293520e-10   1.307503e-10   1.338463e-10   1.343438e-10   1.374537e-10   1.386124e-10   1.213665e-10   1.427424e-10   1.437079e-10   1.460268e-10   1.273518e-10   1.287737e-10   1.473862e-10   1.317589e-10   1.557418e-10   1.583995e-10   1.561124e-10   1.376564e-10
