# Cinquegrana, Heger & Karakas 2025
M      11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.289   1.535   1.322   1.509   1.409   1.411   1.554   10.741   1.529   1.601   9.263   1.428   1.443   1.466   1.482   1.502   1.518   1.555   1.579   1.604   1.596   9.463   9.525   1.814   9.423   1.868   8.874   8.586   8.766   1.638
H1    5.172027e+00   5.259348e+00   5.461442e+00   5.508015e+00   5.656672e+00   5.761132e+00   5.837695e+00   1.104971e+00   6.082015e+00   6.116106e+00   2.350945e+00   6.167349e+00   6.247977e+00   6.339743e+00   6.414348e+00   6.518674e+00   6.595206e+00   6.693781e+00   6.777675e+00   6.863748e+00   6.904006e+00   3.651244e+00   3.748196e+00   7.296844e+00   4.048770e+00   7.411059e+00   4.574507e+00   4.841892e+00   4.880730e+00   7.448540e+00
H2    5.252216e-08   5.530364e-08   5.725089e-08   5.911465e-08   6.140551e-08   6.379800e-08   6.649293e-08   5.882078e-08   7.426192e-08   7.783929e-08   6.489572e-08   8.083355e-08   8.317990e-08   8.599854e-08   8.878730e-08   9.141941e-08   9.403653e-08   9.810159e-08   1.016385e-07   1.038680e-07   1.056021e-07   9.045675e-08   9.290303e-08   1.174113e-07   9.792946e-08   1.231966e-07   1.026442e-07   1.059448e-07   1.086034e-07   1.302347e-07
He3   4.004404e-04   4.059923e-04   4.200020e-04   4.220864e-04   4.320289e-04   4.399653e-04   4.480735e-04   9.489911e-05   4.755599e-04   4.867869e-04   2.019998e-04   4.967197e-04   5.010467e-04   5.075795e-04   5.129390e-04   5.188947e-04   5.237681e-04   5.314375e-04   5.370165e-04   5.432989e-04   5.441718e-04   3.113184e-04   3.194888e-04   5.736673e-04   3.436063e-04   5.851482e-04   3.864477e-04   4.079529e-04   4.103288e-04   5.878725e-04
He4   3.842050e+00   3.765601e+00   3.968743e+00   3.992567e+00   4.158895e+00   4.279317e+00   4.308116e+00   7.643827e-01   4.551222e+00   4.584634e+00   1.590691e+00   5.088589e+00   5.211302e+00   5.316411e+00   5.440845e+00   5.550919e+00   5.670169e+00   5.766997e+00   5.873638e+00   5.984762e+00   6.123271e+00   2.664058e+00   2.741652e+00   6.326395e+00   3.001759e+00   6.562549e+00   3.451765e+00   3.685459e+00   3.711589e+00   7.086367e+00
Li6   2.520950e-10   2.625446e-10   2.659465e-10   2.707978e-10   2.762802e-10   2.804179e-10   2.872988e-10   2.520491e-10   3.045253e-10   3.122040e-10   2.680993e-10   3.155830e-10   3.195233e-10   3.260182e-10   3.306194e-10   3.359254e-10   3.419368e-10   3.486587e-10   3.541601e-10   3.607425e-10   3.649162e-10   3.221684e-10   3.268964e-10   3.880627e-10   3.373806e-10   4.029678e-10   3.507809e-10   3.567481e-10   3.630461e-10   4.125282e-10
Li7   1.869648e-08   1.368653e-08   1.811719e-08   2.053633e-08   2.294576e-08   2.196428e-08   2.394449e-08   5.438666e-09   5.769599e-08   6.947742e-08   5.746835e-09   1.524002e-07   1.615390e-07   1.494325e-07   1.590859e-07   1.487125e-07   1.530045e-07   1.664005e-07   1.570595e-07   1.525227e-07   1.680247e-07   6.876201e-09   6.977532e-09   1.737838e-07   7.173146e-09   2.009075e-07   7.415743e-09   7.534226e-09   7.599558e-09   2.327360e-07
Be9   2.026886e-10   2.087926e-10   2.145575e-10   2.177605e-10   2.230856e-10   2.275839e-10   2.341107e-10   1.800913e-10   2.487221e-10   2.547836e-10   2.075099e-10   2.567883e-10   2.597627e-10   2.630933e-10   2.675031e-10   2.713556e-10   2.742731e-10   2.782284e-10   2.821334e-10   2.894206e-10   2.890530e-10   2.540238e-10   2.571458e-10   3.072856e-10   2.646808e-10   3.150063e-10   2.715252e-10   2.749326e-10   2.782770e-10   3.249466e-10
B10   4.603030e-09   4.667480e-09   4.859935e-09   4.909706e-09   5.042283e-09   5.137294e-09   5.251939e-09   1.799216e-09   6.029903e-09   6.295056e-09   2.944596e-09   6.925532e-09   7.098122e-09   6.688706e-09   7.146705e-09   7.097700e-09   7.168180e-09   7.146137e-09   6.881496e-09   7.399292e-09   7.480499e-09   4.529678e-09   4.661182e-09   7.916916e-09   4.978204e-09   8.132480e-09   5.380515e-09   5.564578e-09   5.652940e-09   8.312650e-09
B11   3.624575e-08   3.149306e-08   4.923035e-08   4.538068e-08   4.694497e-08   4.811323e-08   4.961867e-08   6.904299e-09   7.438518e-08   7.438018e-08   1.039065e-08   2.689045e-07   2.723617e-07   1.303542e-07   3.008958e-07   2.770559e-07   2.838874e-07   1.984409e-07   1.391581e-07   4.536245e-07   3.640850e-07   1.580563e-08   1.626634e-08   2.263755e-07   1.727630e-08   2.385809e-07   1.834298e-08   1.880691e-08   1.914416e-08   8.948675e-07
C12   7.583856e-02   7.674931e-02   8.508636e-02   8.384542e-02   8.807864e-02   9.141213e-02   9.138918e-02   1.656690e-02   9.416299e-02   9.665612e-02   3.626581e-02   1.285313e-01   1.304314e-01   1.302832e-01   1.400633e-01   1.413543e-01   1.450511e-01   1.467424e-01   1.437407e-01   1.622263e-01   1.633374e-01   5.657230e-02   5.801384e-02   1.502764e-01   6.227652e-02   1.596636e-01   7.003576e-02   7.396640e-02   7.425277e-02   2.500868e-01
C13   3.906900e-03   3.966516e-03   4.131186e-03   4.175899e-03   4.301663e-03   4.407673e-03   4.509955e-03   7.897145e-04   4.812185e-03   4.878952e-03   1.880437e-03   5.025334e-03   5.085711e-03   5.135971e-03   5.185720e-03   5.215376e-03   5.213029e-03   5.279170e-03   5.287111e-03   5.252751e-03   5.176226e-03   2.692623e-03   2.753002e-03   5.226536e-03   2.858090e-03   5.133306e-03   3.131132e-03   3.302578e-03   3.341073e-03   5.090146e-03
N14   1.083803e-01   1.042327e-01   1.099858e-01   1.115034e-01   1.172060e-01   1.208099e-01   1.209129e-01   1.936058e-02   1.275198e-01   1.263399e-01   3.750437e-02   1.384559e-01   1.438040e-01   1.456714e-01   1.498422e-01   1.532592e-01   1.575611e-01   1.610305e-01   1.644708e-01   1.679354e-01   1.731474e-01   6.929994e-02   7.181739e-02   1.831078e-01   8.043035e-02   1.901231e-01   9.427264e-02   1.015899e-01   1.031069e-01   2.028170e-01
N15   3.566002e-05   4.003489e-05   4.689855e-05   4.724729e-05   5.290315e-05   5.866342e-05   5.987980e-05   8.636032e-06   4.774612e-05   5.215151e-05   1.794642e-05   6.962717e-05   6.657755e-05   6.277642e-05   7.974928e-05   8.431642e-05   8.875380e-05   6.932247e-05   7.148148e-05   1.280767e-04   1.058968e-04   2.817206e-05   2.894847e-05   7.700936e-05   3.123815e-05   8.076791e-05   3.517784e-05   3.714052e-05   3.741409e-05   2.261935e-04
O16   2.627403e-01   2.651242e-01   2.815083e-01   2.830950e-01   2.942703e-01   3.020056e-01   3.028255e-01   5.432633e-02   3.164820e-01   3.219874e-01   1.163051e-01   4.179486e-01   4.327225e-01   4.391494e-01   4.612497e-01   4.670855e-01   4.848023e-01   4.934403e-01   5.127453e-01   5.134355e-01   5.576412e-01   1.782565e-01   1.826735e-01   5.303292e-01   1.968709e-01   5.778384e-01   2.223195e-01   2.351818e-01   2.364756e-01   9.329472e-01
