1.00	0.09	0.633	g	    1	5.21E-08
1.00	0.09	0.633	n	    1	0.00E+00
1.00	0.09	0.633	p	    1	-4.27E-03
1.00	0.09	0.633	d	    2	9.01E-19
1.00	0.09	0.633	he3	    3	7.64E-05
1.00	0.09	0.633	he4	    4	3.98E-03
1.00	0.09	0.633	li7	    7	-1.15E-08
1.00	0.09	0.633	be7	    7	6.34E-15
1.00	0.09	0.633	b8	    8	1.30E-29
1.00	0.09	0.633	c12	    12	-1.36E-03
1.00	0.09	0.633	c13	    13	1.37E-04
1.00	0.09	0.633	c14	    14	3.20E-26
1.00	0.09	0.633	n13	    13	0.00E+00
1.00	0.09	0.633	n14	    14	1.44E-03
1.00	0.09	0.633	n15	    15	-1.56E-06
1.00	0.09	0.633	o14	    14	0.00E+00
1.00	0.09	0.633	o15	    15	0.00E+00
1.00	0.09	0.633	o16	    16	-2.52E-06
1.00	0.09	0.633	o17	    17	1.70E-06
1.00	0.09	0.633	o18	    18	-4.61E-06
1.00	0.09	0.633	o19	    19	0.00E+00
1.00	0.09	0.633	f17	    17	0.00E+00
1.00	0.09	0.633	f18	    18	0.00E+00
1.00	0.09	0.633	f19	    19	3.11E-09
1.00	0.09	0.633	f20	    20	0.00E+00
1.00	0.09	0.633	ne19	19	0.00E+00
1.00	0.09	0.633	ne20	20	-6.89E-10
1.00	0.09	0.633	ne21	21	5.64E-10
1.00	0.09	0.633	ne22	22	-7.64E-07
1.00	0.09	0.633	ne23	23	0.00E+00
1.00	0.09	0.633	na21	21	0.00E+00
1.00	0.09	0.633	na22	22	6.45E-29
1.00	0.09	0.633	na23	23	7.99E-07
1.00	0.09	0.633	na24	24	0.00E+00
1.00	0.09	0.633	mg23	23	0.00E+00
1.00	0.09	0.633	mg24	24	8.77E-11
1.00	0.09	0.633	mg25	25	-2.67E-09
1.00	0.09	0.633	mg26	26	1.86E-09
1.00	0.09	0.633	mg27	27	0.00E+00
1.00	0.09	0.633	al25	25	0.00E+00
1.00	0.09	0.633	al-6	26	8.69E-10
1.00	0.09	0.633	al*6	26	0.00E+00
1.00	0.09	0.633	al27	27	7.28E-11
1.00	0.09	0.633	al28	28	0.00E+00
1.00	0.09	0.633	si27	27	0.00E+00
1.00	0.09	0.633	si28	28	2.05E-10
1.00	0.09	0.633	si29	29	8.13E-20
1.00	0.09	0.633	si30	30	4.39E-12
1.00	0.09	0.633	si31	31	0.00E+00
1.00	0.09	0.633	si32	32	0.00E+00
1.00	0.09	0.633	si33	33	0.00E+00
1.00	0.09	0.633	p29	    29	0.00E+00
1.00	0.09	0.633	p30	    30	0.00E+00
1.00	0.09	0.633	p31	    31	1.11E-13
