# Cinquegrana, Heger & Karakas 2025
M      10.5   10.8   11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3   18.5   18.8   19.0   19.3   19.5   19.8
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.286   1.510   1.407   1.413   1.520   1.534   1.568   1.528   1.609   1.574   1.551   11.614   1.558   11.941   1.654   1.663   12.432   12.572   12.737   1.440   1.473   1.539   1.538   1.551   1.592   1.616   1.634   1.701   14.552   14.656   1.621   1.544   1.750   15.000   15.418   1.530   1.525   15.538
H1    6.133974e+00   6.222437e+00   6.330841e+00   6.478993e+00   6.659683e+00   6.799924e+00   6.917175e+00   7.013196e+00   7.156072e+00   7.271715e+00   7.421882e+00   1.147867e+00   7.589250e+00   1.269011e+00   7.910285e+00   8.041941e+00   1.449233e+00   1.524029e+00   1.583940e+00   8.137312e+00   8.251606e+00   8.164269e+00   8.448416e+00   8.534524e+00   8.657581e+00   8.753734e+00   8.826697e+00   8.965929e+00   2.046649e+00   2.144638e+00   9.071808e+00   9.063172e+00   9.356765e+00   2.583994e+00   2.468388e+00   9.329423e+00   8.802474e+00   2.883969e+00
H2    7.036311e-08   7.535405e-08   7.584972e-08   7.899666e-08   8.039983e-08   8.430175e-08   8.837041e-08   9.242668e-08   9.675487e-08   1.004322e-07   1.039681e-07   8.541662e-08   1.101076e-07   9.063501e-08   1.188521e-07   1.220248e-07   9.815118e-08   1.010894e-07   1.039331e-07   1.277051e-07   1.338489e-07   1.355201e-07   1.393564e-07   1.443566e-07   1.469886e-07   1.518217e-07   1.518378e-07   1.566374e-07   1.337384e-07   1.368020e-07   1.642466e-07   1.667985e-07   1.752588e-07   1.490970e-07   1.524641e-07   1.803200e-07   1.823655e-07   1.619497e-07
He3   3.631781e-04   3.638468e-04   3.654947e-04   3.718427e-04   4.133603e-04   4.235805e-04   4.287815e-04   4.336414e-04   4.410381e-04   4.472052e-04   4.543835e-04   8.738434e-05   4.609464e-04   9.719471e-05   4.781751e-04   4.843196e-04   1.115957e-04   1.174951e-04   1.223800e-04   4.828867e-04   4.882652e-04   4.822766e-04   4.972815e-04   5.010907e-04   5.069161e-04   5.114678e-04   5.146443e-04   5.217390e-04   1.649343e-04   1.718755e-04   5.248113e-04   5.232066e-04   5.393453e-04   2.041622e-04   2.001817e-04   5.381871e-04   5.056985e-04   2.294679e-04
He4   2.893716e+00   2.847059e+00   3.063406e+00   3.151092e+00   3.127464e+00   3.207978e+00   3.296006e+00   3.405241e+00   3.485189e+00   3.586236e+00   3.702619e+00   4.590948e-01   3.956409e+00   5.085294e-01   4.096632e+00   4.213982e+00   5.831269e-01   6.154732e-01   6.399082e-01   5.011057e+00   5.094321e+00   5.025834e+00   5.276657e+00   5.386943e+00   5.475861e+00   5.572675e+00   5.680228e+00   5.750226e+00   8.498802e-01   8.954047e-01   6.096067e+00   6.194554e+00   6.267380e+00   1.100345e+00   1.050990e+00   6.564251e+00   6.191275e+00   1.254253e+00
Li6   4.706364e-11   5.009160e-11   4.921479e-11   5.058790e-11   5.142870e-11   5.271030e-11   5.364240e-11   5.453766e-11   5.608093e-11   5.724191e-11   5.842041e-11   4.963310e-11   5.935719e-11   5.147810e-11   6.339166e-11   6.450722e-11   5.410704e-11   5.498664e-11   5.592870e-11   6.453322e-11   6.561116e-11   6.519518e-11   6.765777e-11   6.909433e-11   7.020298e-11   7.141919e-11   7.278992e-11   7.384861e-11   6.515044e-11   6.623123e-11   7.542028e-11   7.645824e-11   7.825664e-11   6.957597e-11   7.066068e-11   7.964449e-11   7.504485e-11   7.343511e-11
Li7   1.677924e-08   6.749793e-09   2.062829e-08   2.418678e-08   1.433911e-08   2.260449e-08   3.383990e-08   5.204425e-08   5.353442e-08   5.895971e-08   7.021726e-08   1.416986e-09   1.032887e-07   1.468831e-09   8.845773e-08   9.226436e-08   1.537420e-09   1.564093e-09   1.587190e-09   1.823027e-07   1.873912e-07   1.872386e-07   1.900348e-07   1.983970e-07   2.184661e-07   2.148684e-07   1.811993e-07   1.548942e-07   1.828567e-09   1.859716e-09   2.099833e-07   2.241881e-07   2.248751e-07   1.954606e-09   1.983879e-09   2.251652e-07   3.366681e-07   2.054988e-09
Be9   2.633037e-11   2.658417e-11   2.730587e-11   2.860412e-11   4.646826e-11   4.838322e-11   4.905703e-11   4.973029e-11   5.099140e-11   5.214535e-11   5.334407e-11   3.978390e-11   5.442219e-11   4.379688e-11   5.724197e-11   5.822852e-11   4.749306e-11   4.844675e-11   4.919058e-11   5.861041e-11   5.921068e-11   5.872203e-11   6.063302e-11   6.146656e-11   6.230640e-11   6.319606e-11   6.527879e-11   6.683702e-11   5.590840e-11   5.654760e-11   6.596554e-11   6.799394e-11   6.797880e-11   5.913469e-11   5.980773e-11   7.035096e-11   6.467314e-11   6.172893e-11
