# Cinquegrana, Heger & Karakas 2025
M      10.5   10.8   11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3   18.5   18.8   19.0   19.3   19.5   19.8   20.0
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.574   1.525   1.543   1.562   1.645   1.544   11.861   1.624   1.648   12.576   12.813   13.046   1.468   1.500   1.525   1.552   1.593   14.486   14.717   14.970   1.573   1.492   1.669   1.511   16.174   1.700   1.619   1.603   17.112   17.375   17.575   17.814   18.056   18.320   18.503   18.699   18.982   19.078   19.430
H1    6.412409e+00   6.500195e+00   6.639230e+00   6.788589e+00   6.942245e+00   7.080656e+00   1.041498e-01   7.368624e+00   7.515191e+00   1.297143e-01   1.399855e-01   1.526356e-01   7.739716e+00   7.854092e+00   7.956055e+00   8.094713e+00   8.215834e+00   1.972170e-01   2.110916e-01   2.093011e-01   8.491520e+00   8.502270e+00   8.791301e+00   8.659452e+00   2.430297e-01   9.018311e+00   8.991192e+00   8.776033e+00   2.892196e-01   2.796141e-01   3.168212e-01   3.248567e-01   3.312445e-01   3.208970e-01   3.707215e-01   4.106683e-01   3.867333e-01   5.015008e-01   4.249276e-01
H2    5.257027e-08   5.562597e-08   5.769191e-08   5.992598e-08   6.194107e-08   6.488397e-08   4.779204e-08   6.832854e-08   7.182839e-08   5.229206e-08   5.387572e-08   5.540166e-08   7.732268e-08   7.973360e-08   8.162804e-08   8.120097e-08   8.372333e-08   6.496513e-08   6.658672e-08   6.825299e-08   8.930521e-08   9.458973e-08   9.405101e-08   9.601172e-08   7.641531e-08   9.958734e-08   1.035695e-07   1.041619e-07   8.362676e-08   8.533615e-08   8.715771e-08   8.888860e-08   9.072125e-08   9.248511e-08   9.430888e-08   9.612721e-08   9.820488e-08   9.999758e-08   1.015104e-07
He3   3.711527e-04   3.725882e-04   3.766699e-04   3.817766e-04   3.868821e-04   3.915841e-04   1.044267e-05   4.017591e-04   4.069134e-04   1.292606e-05   1.390296e-05   1.504179e-05   4.079216e-04   4.119251e-04   4.149117e-04   4.198598e-04   4.238308e-04   1.948210e-05   2.075957e-05   2.080716e-05   4.301276e-04   4.283868e-04   4.416118e-04   4.330020e-04   2.443309e-05   4.480708e-04   4.447683e-04   4.330360e-04   2.909071e-05   2.845766e-05   3.189330e-05   3.273033e-05   3.347556e-05   3.279155e-05   3.736406e-05   4.114785e-05   3.930501e-05   4.909831e-05   4.295125e-05
He4   2.453826e+00   2.586477e+00   2.672090e+00   2.755742e+00   2.821849e+00   2.950559e+00   3.499444e-02   3.104397e+00   3.200546e+00   4.362365e-02   4.708829e-02   5.133948e-02   3.968487e+00   4.060048e+00   4.163280e+00   4.247602e+00   4.333479e+00   6.643879e-02   7.111528e-02   7.055608e-02   4.830959e+00   4.966736e+00   4.977987e+00   5.174387e+00   8.211288e-02   5.320362e+00   5.462518e+00   5.391245e+00   9.772902e-02   9.445171e-02   1.070531e-01   1.098774e-01   1.120328e-01   1.085106e-01   1.253491e-01   1.386680e-01   1.305971e-01   1.694702e-01   1.435527e-01
Li6   4.409207e-12   4.430108e-12   4.566073e-12   4.708154e-12   4.827531e-12   4.855148e-12   3.908158e-12   5.256909e-12   5.181122e-12   4.120689e-12   4.195534e-12   4.255331e-12   5.190388e-12   5.279685e-12   5.383328e-12   5.672656e-12   5.759781e-12   4.678798e-12   4.747734e-12   4.813985e-12   5.789831e-12   5.780911e-12   6.105630e-12   5.951817e-12   5.136720e-12   6.282853e-12   6.182706e-12   6.056296e-12   5.422686e-12   5.474498e-12   5.520444e-12   5.584731e-12   5.686654e-12   5.757465e-12   5.812517e-12   5.878400e-12   5.967903e-12   5.985410e-12   6.051511e-12
Li7   2.102577e-08   3.937135e-08   4.324741e-08   4.593747e-08   4.542855e-08   5.993548e-08   3.481085e-10   5.565421e-08   6.260138e-08   3.712234e-10   3.789613e-10   3.847879e-10   1.054674e-07   1.054711e-07   1.074371e-07   1.071963e-07   9.873403e-08   4.221324e-10   4.279124e-10   4.335704e-10   1.164071e-07   1.432482e-07   1.143057e-07   1.416500e-07   4.624140e-10   1.206502e-07   1.552103e-07   1.611269e-07   4.858898e-10   4.902967e-10   4.944485e-10   4.999122e-10   5.080692e-10   5.135182e-10   5.183149e-10   5.239685e-10   5.312528e-10   5.335144e-10   5.392717e-10
Be9   4.331185e-12   4.513671e-12   4.665733e-12   4.798246e-12   4.890557e-12   4.985371e-12   2.371932e-12   5.337951e-12   5.240732e-12   2.846345e-12   3.012825e-12   3.175695e-12   5.212727e-12   5.268768e-12   5.377243e-12   6.125487e-12   6.837831e-12   3.886634e-12   4.018542e-12   4.085366e-12   6.179405e-12   5.619719e-12   6.125417e-12   6.084047e-12   4.535854e-12   6.250142e-12   5.968777e-12   5.886035e-12   4.836864e-12   4.880501e-12   4.953754e-12   5.008315e-12   5.064060e-12   5.112608e-12   5.169478e-12   5.220273e-12   5.260865e-12   5.314499e-12   5.365494e-12
