# Cinquegrana, Heger & Karakas 2025
M      10.5   10.8   11.0   11.3   11.5   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.5
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.306   1.315   1.397   1.506   1.387   1.411   1.423   1.514   1.585   1.590   1.681   1.426   1.473   1.493   1.513   1.540   1.550   1.544   1.458   1.455   1.540   1.560   1.568
O16   3.117544e-01   3.233457e-01   3.335426e-01   3.429024e-01   3.542825e-01   3.775780e-01   3.858749e-01   3.851997e-01   3.873972e-01   3.970869e-01   4.031697e-01   4.872418e-01   5.018144e-01   5.382427e-01   5.321666e-01   5.524640e-01   5.650011e-01   6.049472e-01   7.084437e-01   7.482975e-01   7.179668e-01   7.574208e-01   8.510165e-01
O17   3.980014e-04   4.032118e-04   4.080518e-04   4.063557e-04   4.153983e-04   4.046827e-04   4.021380e-04   3.922833e-04   3.933418e-04   3.674049e-04   3.532968e-04   3.449235e-04   3.311605e-04   3.355915e-04   3.410653e-04   3.400157e-04   3.426036e-04   3.563811e-04   3.436888e-04   3.494767e-04   3.278949e-04   3.591727e-04   3.592164e-04
O18   1.087186e-03   1.307389e-03   1.627087e-03   2.198099e-03   8.726523e-04   3.035927e-03   2.660143e-03   2.736335e-03   9.462958e-04   2.121653e-03   2.086335e-03   3.661405e-03   5.977113e-03   9.035899e-03   8.424106e-03   9.065419e-03   9.434453e-03   1.081091e-02   1.236750e-02   1.305715e-02   1.239867e-02   1.489743e-02   1.694647e-02
F19   2.601362e-05   2.693967e-05   2.926897e-05   3.590599e-05   2.852546e-05   4.380491e-05   4.393528e-05   4.758168e-05   3.092989e-05   3.250250e-05   3.313162e-05   3.401154e-05   3.365157e-05   3.705742e-05   3.643978e-05   3.748861e-05   3.801450e-05   3.959961e-05   4.173597e-05   4.285381e-05   3.738772e-05   4.473579e-05   4.693870e-05
Ne20  1.040966e-01   1.072332e-01   1.091149e-01   1.107517e-01   1.155559e-01   1.218579e-01   1.249881e-01   1.251966e-01   1.273109e-01   1.300362e-01   1.323296e-01   1.498703e-01   1.395809e-01   1.595135e-01   1.564779e-01   1.639076e-01   1.680695e-01   1.772012e-01   2.005614e-01   2.080922e-01   1.537863e-01   2.043773e-01   2.284808e-01
Ne21  3.199263e-04   3.287457e-04   3.394596e-04   3.528984e-04   3.536369e-04   4.195521e-04   4.547802e-04   4.559716e-04   3.946188e-04   4.410427e-04   4.521368e-04   5.922939e-04   4.696181e-04   6.946989e-04   7.143251e-04   7.457448e-04   7.694626e-04   7.982984e-04   9.097529e-04   9.484430e-04   5.438104e-04   1.171653e-03   1.011556e-03
Ne22  8.429051e-03   9.065207e-03   9.609293e-03   1.037706e-02   9.035753e-03   1.239998e-02   1.279194e-02   1.257470e-02   1.024298e-02   1.252765e-02   1.257720e-02   2.240267e-02   2.373732e-02   2.903150e-02   2.806401e-02   2.849928e-02   2.884555e-02   3.295002e-02   4.132466e-02   4.406182e-02   4.005554e-02   4.515141e-02   4.879084e-02
Na23  3.242601e-03   3.325179e-03   3.344345e-03   3.326817e-03   3.541575e-03   3.910350e-03   4.073666e-03   3.967489e-03   4.033261e-03   4.122870e-03   4.142138e-03   5.651556e-03   4.755271e-03   6.779995e-03   6.434193e-03   6.884935e-03   7.117059e-03   7.970758e-03   1.017067e-02   1.075676e-02   6.026896e-03   9.355397e-03   1.143794e-02
Mg24  2.484097e-02   2.555782e-02   2.604865e-02   2.648251e-02   2.782513e-02   2.904736e-02   2.977500e-02   2.995022e-02   3.080660e-02   3.105564e-02   3.160002e-02   3.465199e-02   3.433094e-02   3.595352e-02   3.549727e-02   3.700987e-02   3.788292e-02   3.969745e-02   4.355312e-02   4.504010e-02   3.992498e-02   4.518181e-02   4.995554e-02
Mg25  3.331967e-03   3.549699e-03   3.701922e-03   3.943760e-03   4.131895e-03   4.797395e-03   4.918097e-03   4.597534e-03   4.463915e-03   4.715805e-03   4.760570e-03   8.822395e-03   5.845206e-03   1.065859e-02   9.862712e-03   1.108273e-02   1.159105e-02   1.298285e-02   1.798778e-02   1.928159e-02   7.488664e-03   1.868185e-02   2.343144e-02
Mg26  4.110836e-03   4.309936e-03   4.471760e-03   4.781123e-03   5.049304e-03   5.803839e-03   5.929014e-03   5.719178e-03   5.517937e-03   5.745680e-03   5.791698e-03   9.801957e-03   7.408097e-03   1.141357e-02   1.104480e-02   1.236839e-02   1.300817e-02   1.382042e-02   1.825719e-02   1.945632e-02   9.242110e-03   1.933371e-02   2.462309e-02
Al27  2.842151e-03   2.936941e-03   2.996958e-03   3.043698e-03   3.188919e-03   3.371262e-03   3.465485e-03   3.439572e-03   3.598333e-03   3.599782e-03   3.650917e-03   4.327515e-03   4.261238e-03   4.621544e-03   4.334439e-03   4.701209e-03   4.835677e-03   5.313972e-03   6.280374e-03   6.594070e-03   5.613613e-03   6.360908e-03   7.594877e-03
