# Cinquegrana, Heger & Karakas 2025
M      10.5   10.8   11.0   11.3   11.5   11.8   12.0   12.3   12.5   12.8   13.0   13.3   13.5   13.8   14.0   14.3   14.5   14.8   15.0   15.3   15.5   15.8   16.0   16.3   16.5   16.8   17.0   17.3   17.5   17.8   18.0   18.3   18.5   18.8   19.0   19.3   19.5   19.8
E      1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0   1.0
Mrem   1.562   1.563   1.523   1.541   11.181   1.575   1.654   1.615   1.633   1.686   1.689   1.626   1.631   1.656   13.271   1.416   1.427   1.451   1.472   1.518   1.560   1.593   15.055   15.259   15.494   15.711   1.544   1.506   16.379   1.704   1.680   1.633   1.589   17.441   17.218   17.593   17.632   18.136
H1    6.352041e+00   6.484275e+00   6.569218e+00   6.713345e+00   2.347533e-01   6.999717e+00   7.143580e+00   7.247049e+00   7.381977e+00   7.534206e+00   7.659796e+00   7.793661e+00   7.911792e+00   8.028329e+00   5.358853e-01   7.921881e+00   8.020844e+00   8.141736e+00   8.214594e+00   8.369638e+00   8.497203e+00   8.597628e+00   6.931736e-01   7.268099e-01   7.378976e-01   7.614278e-01   8.867053e+00   7.573499e+00   8.208851e-01   9.272551e+00   9.324948e+00   7.867274e+00   9.310558e+00   9.577923e-01   1.302358e+00   1.212149e+00   1.365706e+00   1.179940e+00
H2    6.393910e-08   6.671151e-08   6.930335e-08   7.283995e-08   5.768904e-08   7.852094e-08   8.117794e-08   8.394336e-08   8.621801e-08   8.902226e-08   9.224907e-08   9.632558e-08   9.922057e-08   1.014889e-07   7.809598e-08   1.000033e-07   1.023089e-07   1.047768e-07   1.078620e-07   1.136088e-07   1.161716e-07   1.186085e-07   9.576468e-08   9.807406e-08   1.004573e-07   1.025744e-07   1.264892e-07   1.259873e-07   1.099588e-07   1.381938e-07   1.410400e-07   1.338357e-07   1.423065e-07   1.219582e-07   1.247304e-07   1.274176e-07   1.297528e-07   1.317131e-07
He3   3.861098e-04   3.992622e-04   4.017615e-04   4.077413e-04   2.299450e-05   4.183724e-04   4.239736e-04   4.272075e-04   4.324829e-04   4.388950e-04   4.438702e-04   4.487131e-04   4.531563e-04   4.583919e-04   4.663582e-05   4.471722e-04   4.505487e-04   4.554243e-04   4.577974e-04   4.646784e-04   4.701922e-04   4.737010e-04   6.149217e-05   6.428289e-05   6.569026e-05   6.791522e-05   4.813034e-04   4.097220e-04   7.393586e-05   4.995253e-04   5.012508e-04   4.237750e-04   4.988679e-04   8.738065e-05   1.129993e-04   1.073080e-04   1.191743e-04   1.067325e-04
He4   2.513418e+00   2.608830e+00   2.729712e+00   2.820078e+00   8.239385e-02   2.993635e+00   3.065995e+00   3.157543e+00   3.252688e+00   3.346601e+00   3.446902e+00   3.604173e+00   3.717734e+00   3.805814e+00   1.888824e-01   4.412819e+00   4.517333e+00   4.608352e+00   4.715700e+00   4.779593e+00   4.863099e+00   4.955848e+00   2.456332e-01   2.575619e-01   2.620057e-01   2.708636e-01   5.510646e+00   4.750802e+00   2.927232e-01   5.783809e+00   5.898905e+00   5.092777e+00   6.037031e+00   3.433969e-01   4.682976e-01   4.346568e-01   4.905671e-01   4.243042e-01
Li6   1.372595e-11   1.430912e-11   1.488815e-11   1.582489e-11   1.330002e-11   1.665777e-11   1.712038e-11   1.738284e-11   1.779029e-11   1.820441e-11   1.851584e-11   1.846189e-11   1.872541e-11   1.916764e-11   1.589007e-11   1.861866e-11   1.885160e-11   1.924833e-11   1.952513e-11   1.997594e-11   2.032752e-11   2.061794e-11   1.798068e-11   1.825703e-11   1.849372e-11   1.873386e-11   2.153223e-11   1.853228e-11   1.949114e-11   2.280298e-11   2.294059e-11   1.950102e-11   2.330412e-11   2.072667e-11   2.102663e-11   2.125703e-11   2.154332e-11   2.180459e-11
Li7   1.704925e-08   2.351285e-08   4.611106e-08   5.065708e-08   5.858000e-10   5.653122e-08   5.507511e-08   6.236909e-08   6.563561e-08   6.282075e-08   6.695734e-08   8.678889e-08   9.235393e-08   9.708298e-08   6.971317e-10   1.466740e-07   1.423220e-07   1.467211e-07   1.545367e-07   1.513934e-07   1.496340e-07   1.484402e-07   7.826294e-10   7.933445e-10   8.042715e-10   8.146209e-10   1.467901e-07   2.383951e-07   8.464658e-10   1.653578e-07   1.709247e-07   2.265222e-07   1.529976e-07   8.997225e-10   9.053152e-10   9.169019e-10   9.295683e-10   9.422430e-10
Be9   9.470638e-12   1.056546e-11   1.349638e-11   1.531464e-11   1.187161e-11   1.608141e-11   1.644882e-11   1.664052e-11   1.708049e-11   1.746041e-11   1.771738e-11   1.759216e-11   1.776681e-11   1.814714e-11   1.437182e-11   1.769312e-11   1.817325e-11   1.829800e-11   1.855839e-11   1.868076e-11   1.895580e-11   1.918771e-11   1.610394e-11   1.629538e-11   1.649620e-11   1.668237e-11   2.033585e-11   1.760878e-11   1.725876e-11   2.080241e-11   2.086427e-11   1.796064e-11   2.181931e-11   1.820607e-11   1.838019e-11   1.858067e-11   1.874043e-11   1.895182e-11
